                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8218,                 2.0173,                 1.4486,                0.47858,                0.86286,                0.73063,                0.39646,                 1.4262,                 4.2533,                 1.2441,                0.00024,                0.00024,                0.00024
                      2,                 1.5108,                0.86772,                 1.1941,                0.63667,                0.89182,                0.76387,                0.41728,                 1.4251,                 3.3147,                 1.2364,             0.00048762,             0.00048762,             0.00048762
                      3,                 1.5032,                0.81857,                 1.1835,                0.65627,                0.77699,                0.69552,                0.40824,                 1.3363,                 2.1772,                 1.1614,             0.00072238,             0.00072238,             0.00072238
                      4,                 1.4503,                0.80693,                 1.1628,                0.77229,                0.75432,                0.80489,                 0.4752,                 1.3836,                 1.1518,                 1.1803,             0.00094427,             0.00094427,             0.00094427
                      5,                 1.4705,                0.85255,                 1.1704,                0.68254,                0.83191,                0.73507,                0.41195,                  1.374,                 1.9164,                 1.1431,              0.0011533,              0.0011533,              0.0011533
                      6,                 1.4847,                0.90486,                   1.18,                0.82704,                 0.7824,                 0.8258,                0.47545,                 1.4135,                 1.2115,                 1.1661,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.4229,                0.79634,                 1.1328,                0.41514,                 0.8213,                0.39369,                 0.2353,                 1.3075,                 4.9643,                  1.159,              0.0015327,              0.0015327,              0.0015327
                      8,                  1.455,                 0.8089,                 1.1776,                0.81672,                0.82276,                0.81667,                0.47523,                 1.3416,                 1.0281,                 1.1779,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.3991,                0.75049,                 1.1258,                0.86507,                0.86104,                0.90453,                0.53974,                 1.3703,                0.80737,                 1.1864,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.4219,                0.72882,                  1.136,                0.76605,                0.75973,                0.81302,                0.43498,                 1.4154,                0.82503,                 1.1974,               0.001604,               0.001604,               0.001604
                     11,                 1.3957,                 0.7425,                 1.1501,                0.89671,                0.84211,                0.91448,                0.57057,                 1.2907,                0.69908,                 1.1284,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.3606,                0.69546,                 1.1167,                0.88641,                0.86198,                0.91523,                0.55999,                  1.277,                0.69481,                 1.1339,               0.001505,               0.001505,               0.001505
                     13,                 1.3346,                0.68952,                 1.1277,                0.87483,                0.84765,                0.91041,                0.56824,                 1.2803,                 0.6684,                 1.1306,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.3057,                0.66759,                 1.1082,                0.88106,                0.87377,                 0.9216,                0.57984,                 1.2629,                0.70041,                 1.1196,               0.001406,               0.001406,               0.001406
                     15,                 1.3501,                0.67194,                 1.1268,                0.87942,                0.85667,                 0.9131,                0.55743,                 1.3551,                0.66179,                 1.1552,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.3732,                0.68396,                 1.1199,                0.86885,                0.87019,                0.91685,                0.56136,                 1.2714,                0.71261,                 1.1245,               0.001307,               0.001307,               0.001307
                     17,                 1.3489,                0.66757,                  1.109,                0.89754,                0.88203,                0.93463,                0.59645,                 1.2139,                0.62613,                 1.1015,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.3202,                 0.6607,                  1.128,                 0.8957,                0.89863,                0.93302,                0.59646,                 1.2136,                0.60437,                 1.0954,               0.001208,               0.001208,               0.001208
